X,Y,Population,Elevation,Slope,Landcover,Riverflow,Road_dist,Cluster,M,Unnamed_ 0,Weight,clusters,layer,path,id
185994.042400000005728,8446579.192999999970198,"0",473.135009799999978,,,,,,"0","303",9.085182183206703,"0",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"108"
185959.788599999999860,8447564.832000000402331,"0",444.531005900000025,,,,,,"0","304",9.027281875409349,"0",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"109"
185925.542099999991478,8448550.466000000014901,"5",446.165008499999999,,,,,,"0","305",9.079823068766368,"0",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"110"
185891.302900000009686,8449536.096000000834465,"1",435.605987500000026,,,,,,"0","306",9.047757631058264,"0",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"111"
185857.071200000005774,8450521.722000000998378,"0",451.273010300000010,,,,,,"0","307",6.015973595570864,"0",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"112"
185822.846799999999348,8451507.343000000342727,"0",463.359985399999857,,,,,,"0","308",2.690849425085057,"0",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"113"
185788.629799999995157,8452492.960000000894070,"0",459.190002400000026,,,,,,"0","309",7.021953038906948,"0",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"114"
185754.420199999993201,8453478.572999998927116,"0",475.553985599999976,,,,,,"0","310",7.017458229456166,"0",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"115"
185720.217999999993481,8454464.182000000029802,"0",447.691986100000065,,,,,,"0","311",9.046569534441355,"0",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"116"
185686.023099999991246,8455449.786000000312924,"0",463.606994600000064,,,,,,"0","312",7.037473843297232,"0",total_cluster copy,C:/Users/Asus/Desktop/Vinicius/Clusters/total_cluster.shp,"117"
