id,Population,Elevation,Slope,Landcover,Riverflow,NAME,Road_dist,Cluster,Weight,X,Y,PS,Unnamed_ 0,clusters,layer,path
"94","0",1010.119995000000017,,,,,,,6.000000000000000,855042.367599999997765,8493884.279999999329448,"0","1903","4",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"95","0",955.598999000000049,,,,,,,6.000000000000000,855032.845100000035018,8494870.589999999850988,"0","1904","4",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"96","6",947.713989299999980,,,,,,,6.000000000000000,855023.313899999950081,8495856.895999999716878,"0","1905","4",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"97","0",891.254028299999959,,,,,,,6.000000000000000,855013.773900000029244,8496843.198999999091029,"0","1906","4",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"98","0",851.109008799999970,,,,,,,6.000000000000000,855004.225199999986216,8497829.497000001370907,"0","1907","4",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"99","0",847.741027799999870,,,,,,,6.000000000000000,854994.667699999990873,8498815.791000001132488,"0","1908","4",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"100","0",832.942993200000046,,,,,,,6.000000000000000,854985.101499999989755,8499802.082000000402331,"0","1909","4",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"101","0",884.075988800000005,,,,,,,6.000000000000000,856190.855300000053830,8480083.832999998703599,"0","1941","4",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"102","0",784.939025899999820,,,,,,,6.000000000000000,856181.459700000006706,8481070.208999998867512,"0","1942","4",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"103","0",722.760009799999807,,,,,,,6.000000000000000,856172.055399999953806,8482056.581000000238419,"0","1943","4",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
